ID;descrizione;abitanti;casi_da_inizio;positivi_settimana_precedente;positivi;variazione;vaccini_somministrati;positivi_x1000;casi_da_inizio_x1000;vaccini_somministrati_x100
Supersano;Supersano;4259;149;68;64;-4;418;15,03;34,98;9,81
Surano;Surano;1577;37;4;3;-1;319;1,90;23,46;20,23
Surbo;Surbo;14597;352;125;111;-14;1.920;7,60;24,11;13,15
Taurisano;Taurisano;11546;726;71;89;18;1.148;7,71;62,88;9,94
Taviano;Taviano;11718;272;14;32;18;1.752;2,73;23,21;14,95
Tiggiano;Tiggiano;2809;90;27;14;-13;456;4,98;32,04;16,23
Trepuzzi;Trepuzzi;14076;326;73;52;-21;2.112;3,69;23,16;15,00
Tricase;Tricase;17253;458;87;66;-21;3.282;3,83;26,55;19,02
Tuglie;Tuglie;5161;68;10;11;1;644;2,13;13,18;12,48
Ugento;Ugento;12214;246;25;40;15;1.433;3,27;20,14;11,73
Uggiano la Chiesa;Uggiano la Chiesa;4355;47;3;3;0;658;0,69;10,79;15,11
Veglie;Veglie;13671;272;31;41;10;1.702;3,00;19,90;12,45
Vernole;Vernole;6941;210;70;71;1;1170;10,23;30,26;16,86
Zollino;Zollino;1897;35;7;7;0;344;3,69;18,45;18,13
San Cassiano;San Cassiano;1985;63;18;12;-6;430;6,05;31,74;21,66
Castro;Castro;2339;75;37;37;0;516;15,82;32,06;22,06
Porto Cesareo;Porto Cesareo;6230;248;94;104;10;675;16,69;39,81;10,83
Totale;Totale;782165;20801;4810;4444;-366;123901;5,68;26,59;15,84
